ax,ay,az,gx,gy,gz,tremor
7680.0,-11888.0,-6112.0,1473.0,-12405.0,5627.0,1.0
4160.0,-14536.0,-11372.0,-554.0,-3067.0,-1590.0,1.0
8608.0,-12448.0,-9408.0,1571.0,5452.0,-4257.0,1.0
8636.0,-13148.0,-7420.0,339.0,-8214.0,4325.0,1.0
4700.0,-14464.0,-11228.0,-4435.0,-2215.0,-423.0,1.0
9160.0,-11672.0,-9188.0,568.0,5439.0,-3884.0,1.0
8056.0,-13228.0,-7964.0,1801.0,-10592.0,4293.0,1.0
4316.0,-13840.0,-12556.0,-5220.0,-2470.0,-826.0,1.0
7484.0,-12760.0,-10792.0,654.0,3590.0,-2216.0,1.0
6988.0,-12088.0,-9580.0,-2830.0,-2855.0,1579.0,1.0
3292.0,-12960.0,-13796.0,-1281.0,861.0,-2594.0,1.0
7992.0,-13236.0,-10484.0,3512.0,10792.0,-6353.0,1.0
9536.0,-10340.0,-7212.0,-2740.0,-7893.0,5282.0,1.0
3404.0,-11392.0,-12356.0,-858.0,-8302.0,3078.0,1.0
7064.0,-13872.0,-11116.0,1228.0,1749.0,-2286.0,1.0
6076.0,-12892.0,-9980.0,-4411.0,-3944.0,1156.0,1.0
6124.0,-13116.0,-11424.0,-200.0,1876.0,-2994.0,1.0
7632.0,-10360.0,-11308.0,490.0,3159.0,-2983.0,1.0
7044.0,-13764.0,-9888.0,-4276.0,1022.0,-573.0,1.0
